border,date,measure,value,average
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,12388647,12688888
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,6327597,6515484
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,4319416,3938075
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,3878052,3916689
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2005044,2079248
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,469397,456639
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,410534,424002
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,321593,308552
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,277418,315102
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,174518,136282
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,163284,174855
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,147782,139208
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,136378,102848
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,90296,107780
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,58295,54764
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,52383,40771
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,40776,39002
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20703,16475
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,14129,16021
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,12838,14058
US-Canada Border,12/01/2018 12:00:00 AM,Buses,4082,4710
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1996,2084
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,970,877
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,870,936
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,12939220,12438556
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicles,6604570,6426398
US-Mexico Border,12/01/2017 12:00:00 AM,Pedestrians,4084983,3791167
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,3918120,3915258
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicles,2033658,2124839
US-Mexico Border,12/01/2017 12:00:00 AM,Trucks,465722,447556
US-Canada Border,12/01/2017 12:00:00 AM,Trucks,415723,432282
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Full,320329,296774
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Full,303972,326232
US-Mexico Border,12/01/2017 12:00:00 AM,Bus Passengers,153202,196508
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Full,144333,128230
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Empty,142113,136302
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Empty,119996,85700
US-Canada Border,12/01/2017 12:00:00 AM,Bus Passengers,101295,114264
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Empty,58486,51042
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Empty,43734,37808
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Full,39599,38406
US-Canada Border,12/01/2017 12:00:00 AM,Pedestrians,16585,16365
US-Mexico Border,12/01/2017 12:00:00 AM,Buses,14483,17559
US-Canada Border,12/01/2017 12:00:00 AM,Train Passengers,13308,14807
US-Canada Border,12/01/2017 12:00:00 AM,Buses,4199,5220
US-Canada Border,12/01/2017 12:00:00 AM,Trains,1778,2390
US-Mexico Border,12/01/2017 12:00:00 AM,Train Passengers,1011,861
US-Mexico Border,12/01/2017 12:00:00 AM,Trains,918,836
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,12651731,12225382
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicles,6538225,6314572
US-Mexico Border,12/01/2016 12:00:00 AM,Pedestrians,3742732,3839602
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,3661312,4169204
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicles,2001120,2248558
US-Mexico Border,12/01/2016 12:00:00 AM,Trucks,471027,424084
US-Canada Border,12/01/2016 12:00:00 AM,Trucks,429874,434689
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Full,340124,312340
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Full,315173,278374
US-Mexico Border,12/01/2016 12:00:00 AM,Bus Passengers,156361,236654
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Empty,153526,119078
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Full,128793,127668
US-Canada Border,12/01/2016 12:00:00 AM,Bus Passengers,104876,123652
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Empty,82752,88649
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Empty,48508,53576
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Full,40121,36691
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Empty,38259,37358
US-Mexico Border,12/01/2016 12:00:00 AM,Buses,16056,19062
US-Canada Border,12/01/2016 12:00:00 AM,Train Passengers,15120,14494
US-Canada Border,12/01/2016 12:00:00 AM,Pedestrians,14316,18414
US-Canada Border,12/01/2016 12:00:00 AM,Buses,4707,5734
US-Canada Border,12/01/2016 12:00:00 AM,Trains,2431,2350
US-Mexico Border,12/01/2016 12:00:00 AM,Train Passengers,928,794
US-Mexico Border,12/01/2016 12:00:00 AM,Trains,857,814
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,12663151,11787613
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicles,6554035,6075108
US-Mexico Border,12/01/2015 12:00:00 AM,Pedestrians,3806503,3872700
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,3753777,4584630
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicles,2051559,2445556
US-Canada Border,12/01/2015 12:00:00 AM,Trucks,443072,426306
US-Mexico Border,12/01/2015 12:00:00 AM,Trucks,439833,408334
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Full,321599,303080
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Full,302522,254225
US-Mexico Border,12/01/2015 12:00:00 AM,Bus Passengers,222809,250500
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Empty,133821,104334
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Full,129075,126261
US-Canada Border,12/01/2015 12:00:00 AM,Bus Passengers,109880,137425
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Empty,81862,95436
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Empty,49783,57370
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Full,39311,34071
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Empty,39153,35562
US-Mexico Border,12/01/2015 12:00:00 AM,Buses,19011,19114
US-Canada Border,12/01/2015 12:00:00 AM,Pedestrians,18664,18164
US-Canada Border,12/01/2015 12:00:00 AM,Train Passengers,14133,14856
US-Canada Border,12/01/2015 12:00:00 AM,Buses,5297,6170
US-Canada Border,12/01/2015 12:00:00 AM,Trains,2426,2274
US-Mexico Border,12/01/2015 12:00:00 AM,Train Passengers,979,610
US-Mexico Border,12/01/2015 12:00:00 AM,Trains,844,784
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,12207554,11367672
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicles,6329766,5820450
US-Canada Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,4458925,4710335
US-Mexico Border,12/01/2014 12:00:00 AM,Pedestrians,3815655,3929744
US-Canada Border,12/01/2014 12:00:00 AM,Personal Vehicles,2406075,2485038
US-Canada Border,12/01/2014 12:00:00 AM,Trucks,445798,406814
US-Mexico Border,12/01/2014 12:00:00 AM,Trucks,431463,385206
US-Canada Border,12/01/2014 12:00:00 AM,Truck Containers Full,311052,295108
US-Mexico Border,12/01/2014 12:00:00 AM,Truck Containers Full,269057,239393
US-Mexico Border,12/01/2014 12:00:00 AM,Bus Passengers,244142,256859
US-Canada Border,12/01/2014 12:00:00 AM,Rail Containers Full,135873,116649
US-Canada Border,12/01/2014 12:00:00 AM,Bus Passengers,125678,149172
US-Mexico Border,12/01/2014 12:00:00 AM,Truck Containers Empty,103650,105018
US-Canada Border,12/01/2014 12:00:00 AM,Truck Containers Empty,100925,89948
US-Canada Border,12/01/2014 12:00:00 AM,Rail Containers Empty,61100,53640
US-Mexico Border,12/01/2014 12:00:00 AM,Rail Containers Empty,37996,33128
US-Mexico Border,12/01/2014 12:00:00 AM,Rail Containers Full,36430,31712
US-Canada Border,12/01/2014 12:00:00 AM,Pedestrians,19935,16394
US-Mexico Border,12/01/2014 12:00:00 AM,Buses,18883,19346
US-Canada Border,12/01/2014 12:00:00 AM,Train Passengers,15318,14394
US-Canada Border,12/01/2014 12:00:00 AM,Buses,5782,6558
US-Canada Border,12/01/2014 12:00:00 AM,Trains,2268,2279
US-Mexico Border,12/01/2014 12:00:00 AM,Train Passengers,884,335
US-Mexico Border,12/01/2014 12:00:00 AM,Trains,825,744
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,11710485,11024860
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicles,6000441,5640459
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,4753768,4666902
US-Mexico Border,12/01/2013 12:00:00 AM,Pedestrians,3988323,3871164
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicles,2524328,2445748
US-Canada Border,12/01/2013 12:00:00 AM,Trucks,412866,400762
US-Mexico Border,12/01/2013 12:00:00 AM,Trucks,398636,371776
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Full,300125,290092
US-Mexico Border,12/01/2013 12:00:00 AM,Bus Passengers,254446,259272
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Full,233404,245382
US-Canada Border,12/01/2013 12:00:00 AM,Bus Passengers,142820,155523
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Full,120826,112472
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Empty,91227,118809
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Empty,90710,89186
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Empty,55063,52218
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Empty,34945,31311
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Full,33411,30014
US-Mexico Border,12/01/2013 12:00:00 AM,Buses,18896,19796
US-Canada Border,12/01/2013 12:00:00 AM,Train Passengers,15379,13410
US-Canada Border,12/01/2013 12:00:00 AM,Pedestrians,13847,18941
US-Canada Border,12/01/2013 12:00:00 AM,Buses,6302,6814
US-Canada Border,12/01/2013 12:00:00 AM,Trains,2317,2241
US-Mexico Border,12/01/2013 12:00:00 AM,Trains,779,710
US-Mexico Border,12/01/2013 12:00:00 AM,Train Passengers,291,379
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,10971293,11078428
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicles,5608850,5672068
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,4847694,4486109
US-Mexico Border,12/01/2012 12:00:00 AM,Pedestrians,3923442,3818887
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicles,2545279,2346216
US-Canada Border,12/01/2012 12:00:00 AM,Trucks,390438,411085
US-Mexico Border,12/01/2012 12:00:00 AM,Trucks,370217,373334
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Full,287570,292614
US-Mexico Border,12/01/2012 12:00:00 AM,Bus Passengers,263620,254923
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Full,252068,238696
US-Canada Border,12/01/2012 12:00:00 AM,Bus Passengers,150095,160951
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Full,119825,105120
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Empty,117512,120106
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Empty,97013,81360
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Empty,55917,48518
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Full,32588,27440
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Empty,30085,32537
US-Mexico Border,12/01/2012 12:00:00 AM,Buses,19805,19788
US-Canada Border,12/01/2012 12:00:00 AM,Pedestrians,16812,21070
US-Canada Border,12/01/2012 12:00:00 AM,Train Passengers,12525,14296
US-Canada Border,12/01/2012 12:00:00 AM,Buses,6354,7275
US-Canada Border,12/01/2012 12:00:00 AM,Trains,2272,2210
US-Mexico Border,12/01/2012 12:00:00 AM,Trains,743,678
US-Mexico Border,12/01/2012 12:00:00 AM,Train Passengers,309,449
US-Mexico Border,12/01/2011 12:00:00 AM,Personal Vehicle Passengers,10246464,11910393
US-Mexico Border,12/01/2011 12:00:00 AM,Personal Vehicles,5352799,5991336
US-Canada Border,12/01/2011 12:00:00 AM,Personal Vehicle Passengers,4797399,4174819
US-Mexico Border,12/01/2011 12:00:00 AM,Pedestrians,3753452,3884322
US-Canada Border,12/01/2011 12:00:00 AM,Personal Vehicles,2529059,2163374
US-Canada Border,12/01/2011 12:00:00 AM,Trucks,414522,407648
US-Mexico Border,12/01/2011 12:00:00 AM,Trucks,381976,364692
US-Canada Border,12/01/2011 12:00:00 AM,Truck Containers Full,271890,313338
US-Mexico Border,12/01/2011 12:00:00 AM,Bus Passengers,246049,263797
US-Mexico Border,12/01/2011 12:00:00 AM,Truck Containers Full,241312,236079
US-Canada Border,12/01/2011 12:00:00 AM,Bus Passengers,161998,159904
US-Canada Border,12/01/2011 12:00:00 AM,Rail Containers Full,114407,95832
US-Mexico Border,12/01/2011 12:00:00 AM,Truck Containers Empty,113485,126728
US-Canada Border,12/01/2011 12:00:00 AM,Truck Containers Empty,81462,81258
US-Canada Border,12/01/2011 12:00:00 AM,Rail Containers Empty,52520,44516
US-Mexico Border,12/01/2011 12:00:00 AM,Rail Containers Empty,34119,30955
US-Mexico Border,12/01/2011 12:00:00 AM,Rail Containers Full,28990,25890
US-Canada Border,12/01/2011 12:00:00 AM,Pedestrians,23785,18356
US-Mexico Border,12/01/2011 12:00:00 AM,Buses,19293,20284
US-Canada Border,12/01/2011 12:00:00 AM,Train Passengers,15839,12754
US-Canada Border,12/01/2011 12:00:00 AM,Buses,7156,7394
US-Canada Border,12/01/2011 12:00:00 AM,Trains,2314,2107
US-Mexico Border,12/01/2011 12:00:00 AM,Trains,699,657
US-Mexico Border,12/01/2011 12:00:00 AM,Train Passengers,295,603
US-Mexico Border,12/01/2010 12:00:00 AM,Personal Vehicle Passengers,10335188,13485598
US-Mexico Border,12/01/2010 12:00:00 AM,Personal Vehicles,5498251,6484420
US-Canada Border,12/01/2010 12:00:00 AM,Personal Vehicle Passengers,4286994,4062644
US-Mexico Border,12/01/2010 12:00:00 AM,Pedestrians,3788938,3979705
US-Canada Border,12/01/2010 12:00:00 AM,Personal Vehicles,2285607,2041140
US-Canada Border,12/01/2010 12:00:00 AM,Trucks,402423,412872
US-Mexico Border,12/01/2010 12:00:00 AM,Trucks,376557,352826
US-Canada Border,12/01/2010 12:00:00 AM,Truck Containers Full,302171,324506
US-Mexico Border,12/01/2010 12:00:00 AM,Bus Passengers,272182,255412
US-Mexico Border,12/01/2010 12:00:00 AM,Truck Containers Full,249346,222812
US-Canada Border,12/01/2010 12:00:00 AM,Bus Passengers,140795,179014
US-Mexico Border,12/01/2010 12:00:00 AM,Truck Containers Empty,124954,128503
US-Canada Border,12/01/2010 12:00:00 AM,Rail Containers Full,99136,92528
US-Canada Border,12/01/2010 12:00:00 AM,Truck Containers Empty,83795,78721
US-Canada Border,12/01/2010 12:00:00 AM,Rail Containers Empty,49209,39824
US-Mexico Border,12/01/2010 12:00:00 AM,Rail Containers Empty,29946,31964
US-Mexico Border,12/01/2010 12:00:00 AM,Rail Containers Full,27116,24665
US-Mexico Border,12/01/2010 12:00:00 AM,Buses,19063,21506
US-Canada Border,12/01/2010 12:00:00 AM,Pedestrians,18678,18035
US-Canada Border,12/01/2010 12:00:00 AM,Train Passengers,12641,12866
US-Canada Border,12/01/2010 12:00:00 AM,Buses,7109,7679
US-Canada Border,12/01/2010 12:00:00 AM,Trains,2118,2096
US-Mexico Border,12/01/2010 12:00:00 AM,Trains,619,695
US-Mexico Border,12/01/2010 12:00:00 AM,Train Passengers,224,982
US-Mexico Border,12/01/2009 12:00:00 AM,Personal Vehicle Passengers,12599702,14371494
US-Mexico Border,12/01/2009 12:00:00 AM,Personal Vehicles,5969740,6999101
US-Canada Border,12/01/2009 12:00:00 AM,Personal Vehicle Passengers,4133937,3991350
US-Mexico Border,12/01/2009 12:00:00 AM,Pedestrians,3708066,4251344
US-Canada Border,12/01/2009 12:00:00 AM,Personal Vehicles,2060769,2021510
US-Canada Border,12/01/2009 12:00:00 AM,Trucks,404280,421463
US-Mexico Border,12/01/2009 12:00:00 AM,Trucks,360126,345526
US-Canada Border,12/01/2009 12:00:00 AM,Truck Containers Full,315798,333214
US-Mexico Border,12/01/2009 12:00:00 AM,Truck Containers Full,234058,211566
US-Mexico Border,12/01/2009 12:00:00 AM,Bus Passengers,217595,293229
US-Canada Border,12/01/2009 12:00:00 AM,Bus Passengers,158215,199812
US-Mexico Border,12/01/2009 12:00:00 AM,Truck Containers Empty,124446,132560
US-Canada Border,12/01/2009 12:00:00 AM,Rail Containers Full,88214,96841
US-Canada Border,12/01/2009 12:00:00 AM,Truck Containers Empty,85845,71597
US-Canada Border,12/01/2009 12:00:00 AM,Rail Containers Empty,39910,39738
US-Mexico Border,12/01/2009 12:00:00 AM,Rail Containers Empty,29556,34373
US-Mexico Border,12/01/2009 12:00:00 AM,Rail Containers Full,23390,25940
US-Mexico Border,12/01/2009 12:00:00 AM,Buses,20151,22860
US-Canada Border,12/01/2009 12:00:00 AM,Pedestrians,16077,19993
US-Canada Border,12/01/2009 12:00:00 AM,Train Passengers,14765,10966
US-Canada Border,12/01/2009 12:00:00 AM,Buses,7306,8052
US-Canada Border,12/01/2009 12:00:00 AM,Trains,1965,2226
US-Mexico Border,12/01/2009 12:00:00 AM,Trains,604,786
US-Mexico Border,12/01/2009 12:00:00 AM,Train Passengers,302,1662
US-Mexico Border,12/01/2008 12:00:00 AM,Personal Vehicle Passengers,13169398,15573589
US-Mexico Border,12/01/2008 12:00:00 AM,Personal Vehicles,6604996,7393206
US-Mexico Border,12/01/2008 12:00:00 AM,Pedestrians,3838082,4664606
US-Canada Border,12/01/2008 12:00:00 AM,Personal Vehicle Passengers,3521642,4461057
US-Canada Border,12/01/2008 12:00:00 AM,Personal Vehicles,1833417,2209604
US-Canada Border,12/01/2008 12:00:00 AM,Trucks,382977,459949
US-Mexico Border,12/01/2008 12:00:00 AM,Trucks,331232,359820
US-Canada Border,12/01/2008 12:00:00 AM,Truck Containers Full,287911,378516
US-Mexico Border,12/01/2008 12:00:00 AM,Bus Passengers,254210,332248
US-Mexico Border,12/01/2008 12:00:00 AM,Truck Containers Full,199659,223474
US-Canada Border,12/01/2008 12:00:00 AM,Bus Passengers,162597,237028
US-Mexico Border,12/01/2008 12:00:00 AM,Truck Containers Empty,129628,135492
US-Canada Border,12/01/2008 12:00:00 AM,Rail Containers Full,81987,111695
US-Canada Border,12/01/2008 12:00:00 AM,Truck Containers Empty,66728,76466
US-Canada Border,12/01/2008 12:00:00 AM,Rail Containers Empty,37471,42006
US-Mexico Border,12/01/2008 12:00:00 AM,Rail Containers Empty,33258,35488
US-Mexico Border,12/01/2008 12:00:00 AM,Rail Containers Full,24485,27396
US-Mexico Border,12/01/2008 12:00:00 AM,Buses,21794,23926
US-Canada Border,12/01/2008 12:00:00 AM,Pedestrians,17334,22652
US-Canada Border,12/01/2008 12:00:00 AM,Train Passengers,7983,13948
US-Canada Border,12/01/2008 12:00:00 AM,Buses,7497,8608
US-Canada Border,12/01/2008 12:00:00 AM,Trains,1835,2618
US-Mexico Border,12/01/2008 12:00:00 AM,Train Passengers,1771,1552
US-Mexico Border,12/01/2008 12:00:00 AM,Trains,751,822
US-Mexico Border,12/01/2007 12:00:00 AM,Personal Vehicle Passengers,14584120,16563058
US-Mexico Border,12/01/2007 12:00:00 AM,Personal Vehicles,7072540,7713872
US-Mexico Border,12/01/2007 12:00:00 AM,Pedestrians,4788991,4540222
US-Canada Border,12/01/2007 12:00:00 AM,Personal Vehicle Passengers,4385658,4536456
US-Canada Border,12/01/2007 12:00:00 AM,Personal Vehicles,2175942,2243266
US-Canada Border,12/01/2007 12:00:00 AM,Trucks,434458,485440
US-Mexico Border,12/01/2007 12:00:00 AM,Bus Passengers,361001,303494
US-Mexico Border,12/01/2007 12:00:00 AM,Trucks,359609,360030
US-Canada Border,12/01/2007 12:00:00 AM,Truck Containers Full,351277,405754
US-Canada Border,12/01/2007 12:00:00 AM,Bus Passengers,254758,219298
US-Mexico Border,12/01/2007 12:00:00 AM,Truck Containers Full,224153,222796
US-Mexico Border,12/01/2007 12:00:00 AM,Truck Containers Empty,134428,136556
US-Canada Border,12/01/2007 12:00:00 AM,Rail Containers Full,109266,114124
US-Canada Border,12/01/2007 12:00:00 AM,Truck Containers Empty,80337,72596
US-Canada Border,12/01/2007 12:00:00 AM,Rail Containers Empty,45117,38896
US-Mexico Border,12/01/2007 12:00:00 AM,Rail Containers Empty,35151,35825
US-Mexico Border,12/01/2007 12:00:00 AM,Rail Containers Full,26295,28498
US-Mexico Border,12/01/2007 12:00:00 AM,Buses,23760,24092
US-Canada Border,12/01/2007 12:00:00 AM,Pedestrians,19993,25310
US-Canada Border,12/01/2007 12:00:00 AM,Train Passengers,13765,14130
US-Canada Border,12/01/2007 12:00:00 AM,Buses,8656,8561
US-Canada Border,12/01/2007 12:00:00 AM,Trains,2430,2807
US-Mexico Border,12/01/2007 12:00:00 AM,Train Passengers,1585,1520
US-Mexico Border,12/01/2007 12:00:00 AM,Trains,858,786
US-Mexico Border,12/01/2006 12:00:00 AM,Personal Vehicle Passengers,15815174,17310941
US-Mexico Border,12/01/2006 12:00:00 AM,Personal Vehicles,7455033,7972712
US-Mexico Border,12/01/2006 12:00:00 AM,Pedestrians,4664264,4416180
US-Canada Border,12/01/2006 12:00:00 AM,Personal Vehicle Passengers,4427650,4645263
US-Canada Border,12/01/2006 12:00:00 AM,Personal Vehicles,2244897,2241636
US-Canada Border,12/01/2006 12:00:00 AM,Trucks,470527,500352
US-Canada Border,12/01/2006 12:00:00 AM,Truck Containers Full,386579,424930
US-Mexico Border,12/01/2006 12:00:00 AM,Trucks,356786,363273
US-Mexico Border,12/01/2006 12:00:00 AM,Bus Passengers,313493,293494
US-Canada Border,12/01/2006 12:00:00 AM,Bus Passengers,221580,217016
US-Mexico Border,12/01/2006 12:00:00 AM,Truck Containers Full,220509,225082
US-Mexico Border,12/01/2006 12:00:00 AM,Truck Containers Empty,136176,136935
US-Canada Border,12/01/2006 12:00:00 AM,Rail Containers Full,110378,117871
US-Canada Border,12/01/2006 12:00:00 AM,Truck Containers Empty,71567,73626
US-Canada Border,12/01/2006 12:00:00 AM,Rail Containers Empty,40165,37626
US-Mexico Border,12/01/2006 12:00:00 AM,Rail Containers Empty,36424,35226
US-Mexico Border,12/01/2006 12:00:00 AM,Rail Containers Full,31129,25866
US-Mexico Border,12/01/2006 12:00:00 AM,Buses,24575,23610
US-Canada Border,12/01/2006 12:00:00 AM,Pedestrians,22663,27958
US-Canada Border,12/01/2006 12:00:00 AM,Train Passengers,13751,14510
US-Canada Border,12/01/2006 12:00:00 AM,Buses,8443,8679
US-Canada Border,12/01/2006 12:00:00 AM,Trains,2822,2792
US-Mexico Border,12/01/2006 12:00:00 AM,Train Passengers,1641,1399
US-Mexico Border,12/01/2006 12:00:00 AM,Trains,847,726
US-Mexico Border,12/01/2005 12:00:00 AM,Personal Vehicle Passengers,17017684,17604198
US-Mexico Border,12/01/2005 12:00:00 AM,Personal Vehicles,8010543,7934880
US-Canada Border,12/01/2005 12:00:00 AM,Personal Vehicle Passengers,4698646,4591880
US-Mexico Border,12/01/2005 12:00:00 AM,Pedestrians,4241702,4590658
US-Canada Border,12/01/2005 12:00:00 AM,Personal Vehicles,2232428,2250844
US-Canada Border,12/01/2005 12:00:00 AM,Trucks,501553,499151
US-Canada Border,12/01/2005 12:00:00 AM,Truck Containers Full,433899,415960
US-Mexico Border,12/01/2005 12:00:00 AM,Trucks,381580,344966
US-Mexico Border,12/01/2005 12:00:00 AM,Bus Passengers,283645,303344
US-Mexico Border,12/01/2005 12:00:00 AM,Truck Containers Full,242781,207382
US-Canada Border,12/01/2005 12:00:00 AM,Bus Passengers,212874,221159
US-Mexico Border,12/01/2005 12:00:00 AM,Truck Containers Empty,135546,138324
US-Canada Border,12/01/2005 12:00:00 AM,Rail Containers Full,120428,115314
US-Canada Border,12/01/2005 12:00:00 AM,Truck Containers Empty,75459,71792
US-Canada Border,12/01/2005 12:00:00 AM,Rail Containers Empty,38822,36430
US-Mexico Border,12/01/2005 12:00:00 AM,Rail Containers Empty,37319,33132
US-Mexico Border,12/01/2005 12:00:00 AM,Rail Containers Full,29308,22425
US-Canada Border,12/01/2005 12:00:00 AM,Pedestrians,24215,31702
US-Mexico Border,12/01/2005 12:00:00 AM,Buses,22946,24274
US-Canada Border,12/01/2005 12:00:00 AM,Train Passengers,15162,13858
US-Canada Border,12/01/2005 12:00:00 AM,Buses,8068,9290
US-Canada Border,12/01/2005 12:00:00 AM,Trains,2953,2632
US-Mexico Border,12/01/2005 12:00:00 AM,Train Passengers,1724,1074
US-Mexico Border,12/01/2005 12:00:00 AM,Trains,823,628
US-Mexico Border,12/01/2004 12:00:00 AM,Personal Vehicle Passengers,16991865,18216532
US-Mexico Border,12/01/2004 12:00:00 AM,Personal Vehicles,8074001,7795759
US-Mexico Border,12/01/2004 12:00:00 AM,Pedestrians,4519993,4661324
US-Canada Border,12/01/2004 12:00:00 AM,Personal Vehicle Passengers,4407985,4775774
US-Canada Border,12/01/2004 12:00:00 AM,Personal Vehicles,2210779,2290910
US-Canada Border,12/01/2004 12:00:00 AM,Trucks,502115,496187
US-Canada Border,12/01/2004 12:00:00 AM,Truck Containers Full,423289,408631
US-Mexico Border,12/01/2004 12:00:00 AM,Trucks,355965,333966
US-Mexico Border,12/01/2004 12:00:00 AM,Bus Passengers,292169,314520
US-Mexico Border,12/01/2004 12:00:00 AM,Truck Containers Full,220354,194409
US-Canada Border,12/01/2004 12:00:00 AM,Bus Passengers,201602,240716
US-Mexico Border,12/01/2004 12:00:00 AM,Truck Containers Empty,134507,142140
US-Canada Border,12/01/2004 12:00:00 AM,Rail Containers Full,119895,110733
US-Canada Border,12/01/2004 12:00:00 AM,Truck Containers Empty,72454,71130
US-Canada Border,12/01/2004 12:00:00 AM,Rail Containers Empty,37255,35605
US-Mexico Border,12/01/2004 12:00:00 AM,Rail Containers Empty,35645,30620
US-Mexico Border,12/01/2004 12:00:00 AM,Rail Containers Full,26466,18384
US-Canada Border,12/01/2004 12:00:00 AM,Pedestrians,24199,39204
US-Mexico Border,12/01/2004 12:00:00 AM,Buses,22942,25605
US-Canada Border,12/01/2004 12:00:00 AM,Train Passengers,12406,15309
US-Canada Border,12/01/2004 12:00:00 AM,Buses,8443,10136
US-Canada Border,12/01/2004 12:00:00 AM,Trains,2608,2655
US-Mexico Border,12/01/2004 12:00:00 AM,Train Passengers,1086,1062
US-Mexico Border,12/01/2004 12:00:00 AM,Trains,638,617
US-Mexico Border,12/01/2003 12:00:00 AM,Personal Vehicle Passengers,18080733,18352332
